Kreis-Id,NDVI,Temperatur,Niederschlagsrate,Bestrahlungsstärke,Stadt
8118,0.26565329176660313,28443.487157534248,33482.5,12103681.113013698,"      Ludwigsburg, Landkreis"
8118,0.2319029085480308,28312.157534246577,44848.5,11391798.175513698,"      Ludwigsburg, Landkreis"
8118,0.27041195576205346,28500.821180555555,32992.0,12504285.566840278,"      Ludwigsburg, Landkreis"
8118,0.26082769986534404,28483.76883561644,40552.0,11837555.580479452,"      Ludwigsburg, Landkreis"
8118,0.24834937067828664,28482.907534246577,32988.0,11412204.677226027,"      Ludwigsburg, Landkreis"
8118,0.26586064332592096,28434.752155172413,49422.0,12063029.056752874,"      Ludwigsburg, Landkreis"
8119,0.28639154321880445,28297.057971014492,15170.0,11166603.382081687,"      Rems-Murr-Kreis, Landkreis"
8119,0.2974099878775434,28435.979403409092,36883.0,12403641.858664773,"      Rems-Murr-Kreis, Landkreis"
8119,0.30893979178492775,28409.14898989899,30531.545454545456,12267889.849747473,"      Rems-Murr-Kreis, Landkreis"
8119,0.29776282999508047,28359.902821316617,31406.636363636364,12098515.415047022,"      Rems-Murr-Kreis, Landkreis"
8119,0.3095843412347641,28370.27833125778,34218.818181818184,11967740.493773349,"      Rems-Murr-Kreis, Landkreis"
8119,0.265509168285865,28237.375466998757,46743.818181818184,11379852.328767123,"      Rems-Murr-Kreis, Landkreis"
8119,0.32949946031255006,28432.46148989899,33899.36363636364,12419599.739267677,"      Rems-Murr-Kreis, Landkreis"
8119,0.29888918650695884,28410.092154420923,41675.36363636363,11723032.122665007,"      Rems-Murr-Kreis, Landkreis"
8119,0.29921190268144915,28411.12889165629,32359.454545454548,11307875.136363637,"      Rems-Murr-Kreis, Landkreis"
8119,0.3046589733265687,28359.719958202717,49806.72727272727,11986020.548589341,"      Rems-Murr-Kreis, Landkreis"
8125,0.243871241626408,28349.08695652174,14036.058823529413,11018859.821824381,"      Heilbronn, Landkreis"
8125,0.27798577323041146,28490.836397058825,36188.58823529412,12291177.372242646,"      Heilbronn, Landkreis"
8125,0.2787544244171356,28470.54411764706,28949.235294117647,12360056.16625817,"      Heilbronn, Landkreis"
8125,0.25823436015279366,28420.769979716024,30138.823529411766,12068692.88235294,"      Heilbronn, Landkreis"
8125,0.2693270572235458,28423.898468976633,32067.235294117647,11922475.688557616,"      Heilbronn, Landkreis"
8125,0.2339146759797869,28298.46293311845,41407.35294117647,11352630.808219178,"      Heilbronn, Landkreis"
8125,0.28696157605194883,28487.264705882353,32408.70588235294,12331712.85498366,"      Heilbronn, Landkreis"
8125,0.2649205463872098,28466.080177276388,39348.17647058824,11642284.337228041,"      Heilbronn, Landkreis"
8125,0.2435158346953298,28466.38114423852,31859.647058823528,11344778.049556809,"      Heilbronn, Landkreis"
8125,0.2755184309437848,28419.093644354296,46814.94117647059,11925738.494929006,"      Heilbronn, Landkreis"
8126,0.24906484558134442,28292.42834138486,15251.333333333334,10951652.117552334,"      Hohenlohekreis, Landkreis"
8126,0.27933456069700424,28427.99826388889,35354.77777777778,12132924.668402778,"      Hohenlohekreis, Landkreis"
8126,0.27113652288367296,28403.185185185182,29201.333333333332,12287437.05169753,"      Hohenlohekreis, Landkreis"
8126,0.2728522359981134,28357.531800766283,31423.11111111111,11966058.727203066,"      Hohenlohekreis, Landkreis"
8126,0.27633926342709875,28359.89573820396,32002.333333333332,11744500.666666666,"      Hohenlohekreis, Landkreis"
8126,0.2412850263435075,28233.84703196347,42016.22222222222,11360889.178843226,"      Hohenlohekreis, Landkreis"
8126,0.28218286473592513,28425.2399691358,34234.0,12217111.74382716,"      Hohenlohekreis, Landkreis"
8126,0.26796367418107914,28399.927701674278,38471.22222222222,11447189.987062406,"      Hohenlohekreis, Landkreis"
8126,0.2511277955180095,28408.45890410959,31270.222222222223,11261542.402587518,"      Hohenlohekreis, Landkreis"
8126,0.2744765292639409,28353.139846743292,44055.666666666664,11848319.365900384,"      Hohenlohekreis, Landkreis"
8127,0.25325702427951396,28251.13128729753,16526.058823529413,11049357.121057117,"      Schwäbisch Hall, Landkreis"
8127,0.2776299982297411,28381.93296853625,38275.117647058825,12170894.210214319,"      Schwäbisch Hall, Landkreis"
8127,0.27384621058785796,28354.99019607843,32257.29411764706,12225108.564542484,"      Schwäbisch Hall, Landkreis"
8127,0.2854245351885368,28313.81906693712,33747.0,11983056.79918864,"      Schwäbisch Hall, Landkreis"
8127,0.29164235254193055,28315.00684931507,34731.882352941175,11755292.952457696,"      Schwäbisch Hall, Landkreis"
8127,0.24673249902509756,28187.84649476229,45155.05882352941,11417412.39967768,"      Schwäbisch Hall, Landkreis"
8127,0.2936242179174485,28372.537990196077,37381.470588235294,12262919.5498366,"      Schwäbisch Hall, Landkreis"
8127,0.28685522174533457,28353.08219178082,42620.23529411765,11488212.120064463,"      Schwäbisch Hall, Landkreis"
8127,0.2647135381150099,28365.429492344883,34208.41176470588,11233678.987912973,"      Schwäbisch Hall, Landkreis"
8127,0.28062049084010826,28307.450980392157,48786.294117647056,11882437.11764706,"      Schwäbisch Hall, Landkreis"
8128,0.2174010509694648,28293.615942028984,15672.1875,10936336.010869564,"      Main-Tauber-Kreis, Landkreis"
8128,0.26200972287776575,28424.128875968992,35034.125,11992673.78488372,"      Main-Tauber-Kreis, Landkreis"
